From	To
B_cells	GPI
B_cells	GSTP1
B_cells	HLA-A
B_cells	HLA-B
B_cells	HLA-C
B_cells	HLA-E
B_cells	HMGB1
B_cells	HSP90AA1
B_cells	ICAM1
B_cells	ICAM2
B_cells	ICAM3
B_cells	IGFBP4
B_cells	IL16
B_cells	IL1B
B_cells	IL6
B_cells	IL7
B_cells	IL8
B_cells	ITGB3BP
B_cells	LIN7C
B_cells	LRPAP1
B_cells	LTB
B_cells	LY86
B_cells	MFNG
B_cells	MIA
B_cells	NAMPT
B_cells	PDAP1
B_cells	PF4
B_cells	PIGF
B_cells	PNOC
B_cells	POMC
B_cells	PPBP
B_cells	PSAP
B_cells	PSEN1
B_cells	PTDSS1
B_cells	PTGS2
B_cells	PTMA
B_cells	RPS19
B_cells	RTN4
B_cells	S100A8
B_cells	S100A9
B_cells	SELPLG
B_cells	SEMA4A
B_cells	SEMA4B
B_cells	SEMA4D
B_cells	SEMA7A
B_cells	SERPINA1
B_cells	TCTN1
B_cells	TGFB1
B_cells	TIMP2
B_cells	TNF
B_cells	TNFSF10
B_cells	TNFSF12
B_cells	TNFSF13
B_cells	TNFSF9
B_cells	VASP
B_cells	VCAN
B_cells	VEGFB
B_cells	VIM
B_cells	YARS
C10orf54	T_cells_CD4
C10orf54	T_cells_CD8
C14orf1	B_cells
C14orf1	Macrophage
C14orf1	Mast_cells
C14orf1	NK_cells
C14orf1	T_cells_CD4
C14orf1	T_cells_CD8
C1QA	CD93
C1QA	CR1
C1QA	CSPG4
C1QB	LRP1
C1QTNF1	AVPR2
C1QTNF5	MFRP
C3	C3AR1
C3	C5AR2
C3	CD19
C3	CD46
C3	CR1
C3	ITGAM
C3	ITGAX
C3	ITGB2
C3	LRP1
C3AR1	Eosinophils
C3AR1	Macrophage
C3AR1	Mast_cells
C3AR1	Neutrophils
C4A	C3AR1
C4A	C5AR2
C4A	CR1
C4B	CD46
C4B	CR1
C4BPA	BMPR2
C4BPA	CD40
C4BPA	LRP1
C5	C5AR1
C5	C5AR2
C5AR1	Eosinophils
C5AR1	Macrophage
C5AR1	Mast_cells
C5AR1	Neutrophils
C5AR2	Eosinophils
C5AR2	Neutrophils
C5orf55	TRAF2
CALCA	CALCR
CALCA	CALCRL
CALCA	RAMP1
CALCA	RAMP2
CALCB	CALCR
CALCB	CALCRL
CALCB	RAMP1
CALCRL	Mast_cells
CALR	ITGA2B
CALR	ITGA3
CALR	ITGAV
CALR	LRP1
CALR	MTNR1A
CALR	SCARF1
CALR	TSHR
CAMP	FPR2
CANX	B_cells
CANX	Eosinophils
CANX	Macrophage
CANX	Mast_cells
CANX	NK_cells
CANX	Neutrophils
CANX	T_cells_CD4
CANX	T_cells_CD8
CATSPER1	Mast_cells
CCK	CCKAR
CCK	CCKBR
CCL1	CCR8
CCL11	ACKR2
CCL11	ACKR4
CCL11	CCR2
CCL11	CCR3
CCL11	CCR5
CCL11	CXCR3
CCL13	ACKR2
CCL13	ACKR4
CCL13	CCR1
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR3
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	HRH4
CCL17	CCR4
CCL17	CCR8
CCL17	DARC
CCL18	C14orf1
CCL19	ACKR2
CCL19	ACKR4
CCL19	CCR10
CCL19	CCR7
CCL19	CCRL2
CCL19	CXCR3
CCL2	ACKR2
CCL2	ACKR4
CCL2	CCR1
CCL2	CCR10
CCL2	CCR2
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL2	DARC
CCL20	CCR6
CCL20	CXCR3
CCL21	ACKR2
CCL21	ACKR4
CCL21	CCR7
CCL21	CXCR3
CCL22	CCR4
CCL23	CCR1
CCL24	CCR2
CCL24	CCR3
CCL25	ACKR2
CCL25	ACKR4
CCL25	CCR10
CCL25	CCR9
CCL26	CCR1
CCL26	CCR2
CCL26	CCR3
CCL27	ACKR2
CCL27	CCR10
CCL28	ACKR2
CCL28	CCR10
CCL28	CCR3
CCL3	ACKR2
CCL3	CCR1
CCL3	CCR3
CCL3	CCR4
CCL3	CCR5
CCL3L1	CCR1
CCL3L1	CCR3
CCL3L1	CCR5
CCL3L3	ACKR2
CCL3L3	CCR5
CCL4	ACKR2
CCL4	CCR1
CCL4	CCR3
CCL4	CCR5
CCL4	CCR8
CCL5	ACKR2
CCL5	ACKR4
CCL5	CCR1
CCL5	CCR3
CCL5	CCR4
CCL5	CCR5
CCL5	CXCR3
CCL5	DARC
CCL5	GPR75
CCL5	SDC1
CCL5	SDC4
CCL7	ACKR2
CCL7	ACKR4
CCL7	CCR1
CCL7	CCR10
CCL7	CCR2
CCL7	CCR3
CCL7	CCR5
CCL7	CXCR3
CCL7	DARC
CCL8	ACKR2
CCL8	ACKR4
CCL8	CCR1
CCL8	CCR2
CCL8	CCR3
CCL8	CCR5
CCL8	DARC
CCR1	Eosinophils
CCR1	Macrophage
CCR1	Neutrophils
CCR2	T_cells_CD8
CCR3	Eosinophils
CCR3	Neutrophils
CCR4	Eosinophils
CCR4	NK_cells
CCR4	T_cells_CD4
CCR4	T_cells_CD8
CCR5	Macrophage
CCR5	T_cells_CD8
CCR6	B_cells
CCR6	Eosinophils
CCR6	NK_cells
CCR6	T_cells_CD4
CCR6	T_cells_CD8
CCR7	B_cells
CCR7	Eosinophils
CCR7	NK_cells
CCR7	T_cells_CD4
CCR7	T_cells_CD8
CCRL2	Eosinophils
CCRL2	Macrophage
CCRL2	Mast_cells
CCRL2	Neutrophils
CD14	ITGA4
CD14	ITGB1
CD151	Macrophage
CD151	Mast_cells
CD160	NK_cells
CD177	Eosinophils
CD177	Neutrophils
CD180	B_cells
CD180	Macrophage
CD19	B_cells
CD200R1	Eosinophils
CD200R1	Macrophage
CD200R1	Mast_cells
CD200R1	Neutrophils
CD24	SELP
CD27	B_cells
CD27	NK_cells
CD27	T_cells_CD4
CD27	T_cells_CD8
CD274	CD80
CD274	PDCD1
CD28	Eosinophils
CD28	NK_cells
CD28	T_cells_CD4
CD28	T_cells_CD8
CD34	SELL
CD36	Macrophage
CD4	Eosinophils
CD4	Macrophage
CD4	Mast_cells
CD4	NK_cells
CD4	Neutrophils
CD4	T_cells_CD4
CD4	T_cells_CD8
CD40	B_cells
CD40	Macrophage
CD40LG	CD40
CD44	B_cells
CD44	Eosinophils
CD44	Macrophage
CD44	Mast_cells
CD44	NK_cells
CD44	Neutrophils
CD44	T_cells_CD4
CD44	T_cells_CD8
CD46	B_cells
CD46	Eosinophils
CD46	Macrophage
CD46	Mast_cells
CD46	NK_cells
CD46	Neutrophils
CD46	T_cells_CD4
CD46	T_cells_CD8
CD47	B_cells
CD47	Eosinophils
CD47	Macrophage
CD47	Mast_cells
CD47	NK_cells
CD47	Neutrophils
CD47	T_cells_CD4
CD47	T_cells_CD8
CD5	Eosinophils
CD5	NK_cells
CD5	T_cells_CD4
CD5	T_cells_CD8
CD53	B_cells
CD53	Eosinophils
CD53	Macrophage
CD53	Mast_cells
CD53	NK_cells
CD53	Neutrophils
CD53	T_cells_CD4
CD53	T_cells_CD8
CD55	CD97
CD55	CR1
CD5L	CD5
CD63	B_cells
CD63	Eosinophils
CD63	Macrophage
CD63	Mast_cells
CD63	NK_cells
CD63	Neutrophils
CD63	T_cells_CD4
CD63	T_cells_CD8
CD70	CD27
CD72	B_cells
CD74	B_cells
CD74	Eosinophils
CD74	Macrophage
CD74	Mast_cells
CD74	NK_cells
CD74	Neutrophils
CD74	T_cells_CD4
CD74	T_cells_CD8
CD79A	B_cells
CD79A	Eosinophils
CD80	CD28
CD80	CTLA4
CD81	B_cells
CD81	Eosinophils
CD81	Macrophage
CD81	Mast_cells
CD81	NK_cells
CD81	Neutrophils
CD81	T_cells_CD4
CD81	T_cells_CD8
CD82	B_cells
CD82	Eosinophils
CD82	Macrophage
CD82	Mast_cells
CD82	NK_cells
CD82	Neutrophils
CD82	T_cells_CD4
CD82	T_cells_CD8
CD9	B_cells
CD9	Eosinophils
CD9	Macrophage
CD9	Mast_cells
CD9	Neutrophils
CD93	Eosinophils
CD93	Neutrophils
CD97	B_cells
CD97	Eosinophils
CD97	Macrophage
CD97	Mast_cells
CD97	NK_cells
CD97	Neutrophils
CD97	T_cells_CD4
CD97	T_cells_CD8
CDH1	EGFR
CDH1	IGF1R
CDH1	ITGAE
CDH1	ITGB7
CDH1	PTPRF
CDH1	PTPRM
CEL	CXCR4
CFH	ITGAM
CFH	SELL
CGA	FSHR
CGA	LHCGR
CGA	TSHR
CGB	LHCGR
CGN	F11R
CHAD	ITGA2
CHAD	ITGB1
CLCF1	CNTFR
CLCF1	CRLF1
CLCF1	IL6ST
CLCF1	LIFR
CMKLR1	Macrophage
CNTF	CNTFR
CNTF	IL6R
CNTF	IL6ST
CNTF	LIFR
CNTN2	CNTN1
CNTN2	CNTNAP2
CNTN2	NRCAM
CNTN4	PTPRG
CNTNAP2	B_cells
COL11A1	DDR1
COL13A1	Mast_cells
COL14A1	CD44
COL18A1	GPC1
COL18A1	GPC4
COL18A1	ITGA5
COL18A1	ITGB1
COL18A1	KDR
COL1A1	CD36
COL1A1	CD44
COL1A1	CD93
COL1A1	DDR1
COL1A1	DDR2
COL1A1	ITGA11
COL1A1	ITGA2
COL1A1	ITGA5
COL1A1	ITGB1
COL1A1	TMPRSS6
COL1A2	CD36
COL1A2	CD44
COL1A2	CD93
COL1A2	ITGA2
COL1A2	ITGA2B
COL1A2	ITGB3
COL2A1	DDR1
COL2A1	ITGA10
COL2A1	ITGA2
COL2A1	ITGA2B
COL2A1	ITGB1
COL2A1	MAG
COL2A1	TNFRSF10A
COL3A1	DDR1
COL3A1	DDR2
COL3A1	MAG
COL4A1	CD93
COL4A1	ITGA1
COL4A1	ITGAV
COL4A1	ITGB1
COL4A1	ITGB8
COL4A2	CD93
COL4A3	CD47
COL4A3	CD93
COL4A3	ITGAV
COL4A4	CD93
COL4A5	CD93
COL4A6	CD93
COL5A1	SDC3
COL5A2	DDR1
COL5A3	SDC3
COL8A1	ITGA1
COL8A1	ITGA2
COL9A1	MAG
COL9A2	MAG
COL9A3	MAG
COLQ	MUSK
CORT	GHSR
CORT	MRGPRX2
CORT	SSTR1
CORT	SSTR2
CORT	SSTR3
CORT	SSTR4
CORT	SSTR5
CP	SLC40A1
CPAMD8	SCTR
CR1	B_cells
CR1	Eosinophils
CR1	Macrophage
CR1	Neutrophils
CRH	CRHR1
CRH	CRHR2
CRH	MC2R
CRP	OLR1
CSF1	CSF1R
CSF1R	Macrophage
CSF1R	Neutrophils
CSF2	CSF1R
CSF2	CSF2RA
CSF2	CSF2RB
CSF2	CSF3R
CSF2	IL3RA
CSF2	SDC2
CSF2RA	Macrophage
CSF2RA	Neutrophils
CSF2RB	B_cells
CSF2RB	Eosinophils
CSF2RB	Macrophage
CSF2RB	Mast_cells
CSF2RB	Neutrophils
CSF3	CSF1R
CSF3	CSF3R
CSF3R	Eosinophils
CSF3R	Macrophage
CSF3R	Neutrophils
CSH1	PRLR
CSH2	PRLR
CSHL1	PRLR
CTF1	IL6ST
CTF1	LIFR
CTGF	ERBB4
CTGF	ITGA5
CTGF	ITGAM
CTGF	ITGB2
CTGF	LRP1
CTGF	LRP6
CTGF	NTRK1
CTHRC1	FZD3
CTHRC1	FZD5
CTHRC1	FZD6
CTLA4	T_cells_CD4
CTLA4	T_cells_CD8
CUBN	LRP2
CX3CL1	CX3CR1
CX3CR1	NK_cells
CX3CR1	T_cells_CD8
CXCL1	CXCR1
CXCL1	CXCR2
CXCL1	DARC
CXCL10	CCR3
CXCL10	CXCR3
CXCL10	SDC4
CXCL11	ACKR3
CXCL11	CCR3
CXCL11	CXCR3
CXCL12	ACKR3
CXCL12	CD4
CXCL12	CXCR3
CXCL12	CXCR4
CXCL12	ITGB1
CXCL13	ACKR4
CXCL13	CCR10
CXCL13	CXCR3
CXCL13	CXCR5
CXCL16	CXCR6
CXCL2	CXCR1
CXCL2	CXCR2
CXCL2	XCR1
CXCL3	CXCR1
CXCL3	CXCR2
CXCL5	CXCR1
CXCL5	CXCR2
CXCL5	DARC
CXCL6	CXCR1
CXCL6	CXCR2
CXCL9	CCR3
CXCL9	CXCR3
CXCR1	Eosinophils
CXCR1	Neutrophils
CXCR2	Eosinophils
CXCR2	Neutrophils
CXCR2	T_cells_CD8
CXCR3	NK_cells
CXCR3	T_cells_CD4
CXCR3	T_cells_CD8
CXCR4	B_cells
CXCR4	Eosinophils
CXCR4	Macrophage
CXCR4	NK_cells
CXCR4	Neutrophils
CXCR4	T_cells_CD4
CXCR4	T_cells_CD8
CXCR5	B_cells
CXCR5	T_cells_CD4
CXCR6	T_cells_CD8
CYR61	ITGA5
CYR61	ITGAM
CYR61	ITGAV
CYR61	ITGB2
CYR61	ITGB3
CYR61	ITGB5
DCBLD2	Mast_cells
DCN	EGFR
DCN	ERBB4
DCN	MET
DEFB1	CCR6
DEFB103A	CCR6
DEFB103B	CCR2
DEFB103B	CCR6
DEFB4A	CCR6
DEFB4A	TLR4
DEFB4B	CCR6
DHH	BOC
DHH	CDON
DHH	HHIP
DHH	PTCH1
DHH	PTCH2
DKK1	KREMEN1
DKK1	KREMEN2
DKK1	LRP5
DKK1	LRP6
DKK2	KREMEN2
DKK2	LRP6
DLK1	NOTCH1
DLK2	NOTCH1
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL4	NOTCH1
DLL4	NOTCH2
DLL4	NOTCH3
DLL4	NOTCH4
DPP4	Macrophage
DPP4	Mast_cells
DPP4	T_cells_CD4
DPP4	T_cells_CD8
DRD2	Mast_cells
DYSF	Eosinophils
DYSF	Neutrophils
Dendritic_cells	CD200
Dendritic_cells	CD274
Dendritic_cells	CD276
Dendritic_cells	CD80
Dendritic_cells	TNFSF18
Dendritic_cells	TNFSF4
Dendritic_cells	TNFSF9
EBI3	IL27RA
EDA	EDA2R
EDA	EDAR
EDIL3	ITGAV
EDN1	EDNRA
EDN1	EDNRB
EDN1	KEL
EDN2	EDNRA
EDN2	EDNRB
EDN2	KEL
EDN3	EDNRA
EDN3	EDNRB
EDN3	KEL
EDNRB	Mast_cells
EFEMP1	EGFR
EFEMP2	AQP1
EFEMP2	CATSPER1
EFEMP2	LINGO1
EFEMP2	PLSCR4
EFNA1	EPHA1
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA4
EFNA1	EPHA5
EFNA1	EPHA6
EFNA1	EPHA7
EFNA1	EPHA8
EFNA1	EPHB1
EFNA2	EPHA2
EFNA2	EPHA3
EFNA2	EPHA4
EFNA2	EPHA5
EFNA2	EPHA6
EFNA2	EPHA7
EFNA2	EPHA8
EFNA3	EPHA1
EFNA3	EPHA2
EFNA3	EPHA3
EFNA3	EPHA4
EFNA3	EPHA5
EFNA3	EPHA6
EFNA3	EPHA7
EFNA3	EPHA8
EFNA3	EPHB1
EFNA4	EPHA2
EFNA4	EPHA3
EFNA4	EPHA4
EFNA4	EPHA5
EFNA4	EPHA6
EFNA4	EPHA7
EFNA4	EPHA8
EFNA5	EPHA2
EFNA5	EPHA3
EFNA5	EPHA4
EFNA5	EPHA5
EFNA5	EPHA6
EFNA5	EPHA7
EFNA5	EPHA8
EFNA5	EPHB1
EFNA5	EPHB2
EFNA5	EPHB6
EFNB1	EPHB1
EFNB1	EPHB2
EFNB1	EPHB3
EFNB1	EPHB4
EFNB1	EPHB6
EFNB1	ERBB2
EFNB2	EPHA3
EFNB2	EPHA4
EFNB2	EPHA6
EFNB2	EPHB1
EFNB2	EPHB2
EFNB2	EPHB3
EFNB2	EPHB4
EFNB2	EPHB6
EFNB2	GRM1
EFNB2	GRM5
EFNB2	PECAM1
EFNB2	RHBDL2
EFNB3	EPHA4
EFNB3	EPHB2
EFNB3	EPHB3
EFNB3	EPHB4
EFNB3	RHBDL2
EGF	EGFR
EGF	ERBB2
EGF	ERBB3
EGF	ERBB4
ENG	Macrophage
EPGN	EGFR
EPHA4	B_cells
EPHA4	NK_cells
EPHA4	T_cells_CD4
EPHA4	T_cells_CD8
EPHA5	Mast_cells
EPHB1	Eosinophils
EPHB1	Neutrophils
EPHB2	Macrophage
EPHB6	B_cells
EPHB6	T_cells_CD4
EPHB6	T_cells_CD8
EPO	EPOR
EPOR	Eosinophils
EPOR	Mast_cells
EPOR	Neutrophils
EREG	EGFR
EREG	ERBB4
Eosinophils	ADAM10
Eosinophils	ADAM15
Eosinophils	ADAM17
Eosinophils	ADAM28
Eosinophils	ADAM9
Eosinophils	ADM
Eosinophils	ANXA1
Eosinophils	APP
Eosinophils	ARF1
Eosinophils	B2M
Eosinophils	BMP6
Eosinophils	BST1
Eosinophils	C4BPA
Eosinophils	CALR
Eosinophils	CAMP
Eosinophils	CCL20
Eosinophils	CCL3
Eosinophils	CCL4
Eosinophils	CCL5
Eosinophils	CD14
Eosinophils	CD24
Eosinophils	CD276
Eosinophils	CD55
Eosinophils	COL9A2
Eosinophils	CSF1
Eosinophils	CXCL1
Eosinophils	CXCL16
Eosinophils	CXCL2
Eosinophils	EDN1
Eosinophils	EREG
Eosinophils	F13A1
Eosinophils	FGF13
Eosinophils	FLT3LG
Eosinophils	GHRL
Eosinophils	GNAI2
Eosinophils	GNAS
Eosinophils	GPI
Eosinophils	GZMB
Eosinophils	HLA-A
Eosinophils	HLA-B
Eosinophils	HLA-C
Eosinophils	HLA-E
Eosinophils	HMGB1
Eosinophils	HSP90AA1
Eosinophils	ICAM1
Eosinophils	ICAM2
Eosinophils	ICAM3
Eosinophils	IL16
Eosinophils	IL18
Eosinophils	IL1A
Eosinophils	IL1B
Eosinophils	IL1RN
Eosinophils	IL23A
Eosinophils	IL8
Eosinophils	JAG1
Eosinophils	LCN2
Eosinophils	LIN7C
Eosinophils	LRPAP1
Eosinophils	LTB
Eosinophils	LTF
Eosinophils	MFNG
Eosinophils	MLLT4
Eosinophils	MMP9
Eosinophils	NAMPT
Eosinophils	NOV
Eosinophils	NTNG2
Eosinophils	OSM
Eosinophils	PDAP1
Eosinophils	PF4
Eosinophils	PLAU
Eosinophils	PPBP
Eosinophils	PROK2
Eosinophils	PSAP
Eosinophils	PSEN1
Eosinophils	PTDSS1
Eosinophils	PTGS2
Eosinophils	PTMA
Eosinophils	RTN4
Eosinophils	S100A8
Eosinophils	S100A9
Eosinophils	SELPLG
Eosinophils	SEMA4A
Eosinophils	SEMA4B
Eosinophils	SEMA4D
Eosinophils	SEMA7A
Eosinophils	SERPINA1
Eosinophils	SERPING1
Eosinophils	SYTL3
Eosinophils	TCTN1
Eosinophils	TGFA
Eosinophils	TGFB1
Eosinophils	THBS1
Eosinophils	TIMP1
Eosinophils	TIMP2
Eosinophils	TNF
Eosinophils	TNFSF10
Eosinophils	TNFSF12
Eosinophils	TNFSF13
Eosinophils	TNFSF13B
Eosinophils	TNFSF14
Eosinophils	TNFSF18
Eosinophils	TNFSF8
Eosinophils	VASP
Eosinophils	VEGFA
Eosinophils	VIM
Eosinophils	YARS
F10	F3
F11	GP1BA
F11R	B_cells
F11R	Eosinophils
F11R	Macrophage
F11R	Mast_cells
F11R	NK_cells
F11R	Neutrophils
F11R	T_cells_CD4
F11R	T_cells_CD8
F12	CD93
F12	GP1BA
F13A1	ITGA4
F13A1	ITGA9
F13A1	ITGB1
F2	F2R
F2	F2RL1
F2	F2RL2
F2	F2RL3
F2	GP1BA
F2	GP9
F2	ITGA2B
F2	THBD
F2R	Mast_cells
F2R	NK_cells
F2R	T_cells_CD8
F2RL1	Eosinophils
F2RL1	Neutrophils
F2RL2	Mast_cells
F3	Macrophage
F7	F3
F8	ASGR2
F8	LDLR
F8	LRP1
F9	LRP1
FAS	B_cells
FAS	Eosinophils
FAS	Macrophage
FAS	Mast_cells
FAS	NK_cells
FAS	Neutrophils
FAS	T_cells_CD4
FAS	T_cells_CD8
FASLG	FAS
FASLG	TNFRSF6B
FAT4	DCHS1
FBLN1	ITGB1
FBLN2	ITGB3
FBN1	ITGA5
FBN1	ITGAV
FBN1	ITGB1
FBN1	ITGB3
FCER1A	Eosinophils
FCER1A	Mast_cells
FCER1A	NK_cells
FCER1A	Neutrophils
FCN2	LRP1
FGA	CDH5
FGA	ITGA2B
FGA	ITGA5
FGA	ITGAM
FGA	ITGAV
FGA	ITGAX
FGA	ITGB1
FGA	ITGB2
FGA	ITGB3
FGB	ITGA2B
FGB	ITGA5
FGB	ITGAM
FGB	ITGAV
FGB	ITGB1
FGB	ITGB2
FGF1	FGFR1
FGF1	FGFR2
FGF1	FGFR3
FGF1	FGFR4
FGF1	NRP1
FGF10	FGFR2
FGF13	SCN5A
FGF13	SCN8A
FGF16	FGFR2
FGF16	FGFR3
FGF16	FGFR4
FGF17	FGFR1
FGF17	FGFR2
FGF17	FGFR3
FGF17	FGFR4
FGF18	FGFR1
FGF18	FGFR2
FGF18	FGFR3
FGF18	FGFR4
FGF19	FGFR1
FGF19	FGFR2
FGF19	FGFR3
FGF19	FGFR4
FGF19	KLB
FGF2	CD44
FGF2	FGFR1
FGF2	FGFR2
FGF2	FGFR3
FGF2	FGFR4
FGF2	FGFRL1
FGF2	GPC4
FGF2	NRP1
FGF2	SDC1
FGF2	SDC2
FGF2	SDC3
FGF2	SDC4
FGF20	FGFR4
FGF21	FGFR4
FGF22	FGFR2
FGF23	FGFR1
