Type	Obj
Ligand	IFNA21
Ligand	IFNA4
Ligand	IFNA5
Ligand	IFNA6
Ligand	IFNA7
Ligand	IFNA8
Ligand	IFNB1
Ligand	IFNG
Ligand	IFNL1
Ligand	IFNL2
Ligand	IFNL3
Ligand	IFNW1
Ligand	IGF1
Ligand	IGF2
Ligand	IGFBP4
Ligand	IGFL1
Ligand	IGFL2
Ligand	IGFL3
Ligand	IHH
Ligand	IL10
Ligand	IL11
Ligand	IL12A
Ligand	IL12B
Ligand	IL13
Ligand	IL15
Ligand	IL16
Ligand	IL17A
Ligand	IL17B
Ligand	IL17F
Ligand	IL18
Ligand	IL19
Ligand	IL1A
Ligand	IL1B
Ligand	IL1F10
Ligand	IL1RN
Ligand	IL2
Ligand	IL20
Ligand	IL21
Ligand	IL22
Ligand	IL23A
Ligand	IL24
Ligand	IL25
Ligand	IL27
Ligand	IL3
Ligand	IL31
Ligand	IL34
Ligand	IL4
Ligand	IL5
Ligand	IL6
Ligand	IL7
Ligand	IL8
Ligand	IL9
Ligand	INHA
Ligand	INHBA
Ligand	INHBB
Ligand	INHBC
Ligand	INS
Ligand	INSL3
Ligand	INSL5
Ligand	ITGB3BP
Ligand	ITIH2
Ligand	JAG1
Ligand	JAG2
Ligand	KAL1
Ligand	KISS1
Ligand	KITLG
Ligand	KLK3
Ligand	KNG1
Ligand	KRTAP4-12
Ligand	L1CAM
Ligand	LACRT
Ligand	LAMA1
Ligand	LAMA2
Ligand	LAMA3
Ligand	LAMA5
Ligand	LAMB1
Ligand	LAMB2
Ligand	LAMC2
Ligand	LCN1
Ligand	LCN2
Ligand	LEFTY2
Ligand	LEP
Ligand	LGALS3BP
Ligand	LGALS9
Ligand	LHB
Ligand	LIF
Ligand	LIN7C
Ligand	LIPC
Ligand	LIPH
Ligand	LPA
Ligand	LPL
Ligand	LRP1B
Ligand	LRPAP1
Ligand	LTA
Ligand	LTB
Ligand	LTBP1
Ligand	LTBP3
Ligand	LTF
Ligand	LY86
Ligand	MADCAM1
Ligand	MATN1
Ligand	MBL2
Ligand	MDK
Ligand	MEPE
Ligand	MFAP2
Ligand	MFAP5
Ligand	MFGE8
Ligand	MFNG
Ligand	MIA
Ligand	MLLT4
Ligand	MLN
Ligand	MMP1
Ligand	MMP12
Ligand	MMP13
Ligand	MMP2
Ligand	MMP7
Ligand	MMP9
Ligand	MST1
Ligand	MSTN
Ligand	MUC2
Ligand	MUC7
Ligand	MYOC
Ligand	NAMPT
Ligand	NCAM1
Ligand	NDP
Ligand	NGF
Ligand	NID1
Ligand	NID2
Ligand	NLGN1
Ligand	NLGN2
Ligand	NLGN3
Ligand	NMB
Ligand	NMS
Ligand	NMU
Ligand	NODAL
Ligand	NOV
Ligand	NPB
Ligand	NPFF
Ligand	NPNT
Ligand	NPPA
Ligand	NPPB
Ligand	NPPC
Ligand	NPS
Ligand	NPVF
Ligand	NPW
Ligand	NPY
Ligand	NRG1
Ligand	NRG2
Ligand	NRG3
Ligand	NRG4
Ligand	NRTN
Ligand	NTF3
Ligand	NTF4
Ligand	NTN1
Ligand	NTN3
Ligand	NTN4
Ligand	NTNG1
Ligand	NTNG2
Ligand	NTS
Ligand	NXPH1
Ligand	NXPH2
Ligand	NXPH3
Ligand	OBP2A
Ligand	OLFM2
Ligand	OMG
Ligand	ORM1
Ligand	OSM
Ligand	OSTN
Ligand	OXT
Ligand	PCSK9
Ligand	PDAP1
Ligand	PDCD1LG2
Ligand	PDGFA
Ligand	PDGFB
Ligand	PDGFC
Ligand	PDGFD
Ligand	PDYN
Ligand	PENK
Ligand	PF4
Ligand	PGF
Ligand	PIGF
Ligand	PIP
Ligand	PLA2G10
Ligand	PLAT
Ligand	PLAU
Ligand	PLG
Ligand	PLTP
Ligand	PMCH
Ligand	PNOC
Ligand	PODXL
Ligand	PODXL2
Ligand	POMC
Ligand	PON2
Ligand	PPBP
Ligand	PPY
Ligand	PRL
Ligand	PRLH
Ligand	PRND
Ligand	PROC
Ligand	PROK1
Ligand	PROK2
Ligand	PROS1
Ligand	PRSS23
Ligand	PSAP
Ligand	PSEN1
Ligand	PSPN
Ligand	PTDSS1
Ligand	PTGS2
Ligand	PTH
Ligand	PTH2
Ligand	PTHLH
Ligand	PTMA
Ligand	PTN
Ligand	PVR
Ligand	PYY
Ligand	QRFP
Ligand	RAET1E
Ligand	RARRES2
Ligand	RBP3
Ligand	RBP4
Ligand	RELN
Ligand	REN
Ligand	RGMA
Ligand	RGMB
Ligand	RIMS1
Ligand	RIMS2
Ligand	RLN1
Ligand	RLN2
Ligand	RLN3
Ligand	RNASE2
Ligand	RPH3A
Ligand	RPS19
Ligand	RSPO1
Ligand	RSPO2
Ligand	RSPO3
Ligand	RSPO4
Ligand	RTN4
Ligand	S100A8
Ligand	S100A9
Ligand	SAA1
Ligand	SCGB1A1
Ligand	SCGB3A1
Ligand	SCGB3A2
Ligand	SCT
Ligand	SELPLG
Ligand	SEMA3A
Ligand	SEMA3B
Ligand	SEMA3C
Ligand	SEMA3D
Ligand	SEMA3E
Ligand	SEMA3F
Ligand	SEMA3G
Ligand	SEMA4A
Ligand	SEMA4B
Ligand	SEMA4C
Ligand	SEMA4D
Ligand	SEMA4F
Ligand	SEMA4G
Ligand	SEMA5A
Ligand	SEMA6A
Ligand	SEMA6D
Ligand	SEMA7A
Ligand	SERPINA1
Ligand	SERPINA7
Ligand	SERPINC1
Ligand	SERPINE1
Ligand	SERPINE2
Ligand	SERPING1
Ligand	SFRP1
Ligand	SFTPA1
Ligand	SFTPA2
Ligand	SHANK1
Ligand	SHBG
Ligand	SHH
Ligand	SLIT1
Ligand	SLIT2
Ligand	SLIT3
Ligand	SORBS1
Ligand	SOST
Ligand	SPINK1
Ligand	SPINT1
Ligand	SPP1
Ligand	SST
Ligand	SYTL3
Ligand	TAC1
Ligand	TAC3
Ligand	TAC4
Ligand	TCTN1
Ligand	TDGF1
Ligand	TF
Ligand	TFPI
Ligand	TG
Ligand	TGFA
Ligand	TGFB1
Ligand	TGFB2
Ligand	TGFB3
Ligand	TGM2
Ligand	THBS1
Ligand	THBS2
Ligand	THPO
Ligand	TIMP1
Ligand	TIMP2
Ligand	TIMP3
Ligand	TNC
Ligand	TNF
Ligand	TNFSF10
Ligand	TNFSF11
Ligand	TNFSF12
Ligand	TNFSF13
Ligand	TNFSF13B
Ligand	TNFSF14
Ligand	TNFSF15
Ligand	TNFSF18
Ligand	TNFSF4
Ligand	TNFSF8
Ligand	TNFSF9
Ligand	TRH
Ligand	TSHB
Ligand	TSLP
Ligand	UCN
Ligand	UCN2
Ligand	UCN3
Ligand	ULBP2
Ligand	UTS2
Ligand	UTS2B
Ligand	VASP
Ligand	VCAM1
Ligand	VCAN
Ligand	VEGFA
Ligand	VEGFB
Ligand	VEGFC
Ligand	VIM
Ligand	VIP
Ligand	VTN
Ligand	VWF
Ligand	WNT1
Ligand	WNT11
Ligand	WNT2
Ligand	WNT3
Ligand	WNT3A
Ligand	WNT4
Ligand	WNT5A
Ligand	WNT7A
Ligand	WNT7B
Ligand	XCL1
Ligand	XCL2
Ligand	YARS
Ligand	ZG16B
Ligand	ZP3
Receptor	ABCA1
Receptor	ACKR2
Receptor	ACKR3
Receptor	ACKR4
Receptor	ACVR1
Receptor	ACVR1B
Receptor	ACVR1C
Receptor	ACVR2A
Receptor	ACVR2B
Receptor	ACVRL1
Receptor	ADCY1
Receptor	ADCYAP1R1
Receptor	ADIPOR1
Receptor	ADIPOR2
Receptor	ADORA1
Receptor	ADORA2B
Receptor	ADRA2A
Receptor	ADRA2B
Receptor	ADRB2
Receptor	ADRB3
Receptor	AGR2
Receptor	AGTR1
Receptor	AGTR2
Receptor	ALK
Receptor	AMFR
Receptor	AMHR2
Receptor	APCDD1
Receptor	APLNR
Receptor	APLP2
Receptor	AQP1
Receptor	ART1
Receptor	ASGR1
Receptor	ASGR2
Receptor	ATP1A3
Receptor	ATP6AP2
Receptor	ATRN
Receptor	AVPR1A
Receptor	AVPR1B
Receptor	AVPR2
Receptor	AXL
Receptor	BAI2
Receptor	BAMBI
Receptor	BCAM
Receptor	BDKRB1
Receptor	BDKRB2
Receptor	BMPR1A
Receptor	BMPR1B
Receptor	BMPR2
Receptor	BOC
Receptor	BRS3
Receptor	C14orf1
Receptor	C3AR1
Receptor	C5AR1
Receptor	C5AR2
Receptor	CACNA1C
Receptor	CALCR
Receptor	CALCRL
Receptor	CANX
Receptor	CATSPER1
Receptor	CAV1
Receptor	CCKAR
Receptor	CCKBR
Receptor	CCR1
Receptor	CCR10
Receptor	CCR2
Receptor	CCR3
Receptor	CCR4
Receptor	CCR5
Receptor	CCR6
Receptor	CCR7
Receptor	CCR8
Receptor	CCR9
Receptor	CCRL2
Receptor	CD151
Receptor	CD160
Receptor	CD177
Receptor	CD180
Receptor	CD19
Receptor	CD1A
Receptor	CD1B
Receptor	CD27
Receptor	CD28
Receptor	CD36
Receptor	CD4
Receptor	CD40
Receptor	CD44
Receptor	CD46
Receptor	CD47
Receptor	CD5
Receptor	CD53
Receptor	CD63
Receptor	CD72
Receptor	CD74
Receptor	CD79A
Receptor	CD80
Receptor	CD81
Receptor	CD82
Receptor	CD9
Receptor	CD93
Receptor	CD97
Receptor	CDH10
Receptor	CDH5
Receptor	CDH7
Receptor	CDON
Receptor	CELSR1
Receptor	CFTR
Receptor	CHRM1
Receptor	CHRM3
Receptor	CLDN2
Receptor	CLDN4
Receptor	CLEC4M
Receptor	CMKLR1
Receptor	CNR1
Receptor	CNTFR
Receptor	CNTN1
Receptor	CNTNAP1
Receptor	CNTNAP2
Receptor	COL13A1
Receptor	CR1
Receptor	CRHR1
Receptor	CRHR2
Receptor	CRLF1
Receptor	CSF1R
Receptor	CSF2RA
Receptor	CSF2RB
Receptor	CSF3R
Receptor	CSPG4
Receptor	CTLA4
Receptor	CX3CR1
Receptor	CXCR1
Receptor	CXCR2
Receptor	CXCR3
Receptor	CXCR4
Receptor	CXCR5
Receptor	CXCR6
Receptor	DARC
Receptor	DCBLD2
Receptor	DCC
Receptor	DCHS1
Receptor	DDR1
Receptor	DDR2
Receptor	DPP4
Receptor	DRD2
Receptor	DYSF
Receptor	EDA2R
Receptor	EDAR
Receptor	EDNRA
Receptor	EDNRB
Receptor	EGFR
Receptor	ENG
Receptor	EPHA1
Receptor	EPHA2
Receptor	EPHA3
Receptor	EPHA4
Receptor	EPHA5
Receptor	EPHA6
Receptor	EPHA7
Receptor	EPHA8
Receptor	EPHB1
Receptor	EPHB2
Receptor	EPHB3
Receptor	EPHB4
Receptor	EPHB6
Receptor	EPOR
Receptor	ERBB2
Receptor	ERBB3
Receptor	ERBB4
Receptor	F11R
Receptor	F2R
Receptor	F2RL1
Receptor	F2RL2
Receptor	F2RL3
Receptor	F3
Receptor	FAP
Receptor	FAS
Receptor	FCER1A
Receptor	FCGR1A
Receptor	FGFR1
Receptor	FGFR2
Receptor	FGFR3
Receptor	FGFR4
Receptor	FGFRL1
Receptor	FLT1
Receptor	FLT3
Receptor	FLT4
Receptor	FPR1
Receptor	FPR2
Receptor	FPR3
Receptor	FSHR
Receptor	FXYD6
Receptor	FZD1
Receptor	FZD10
Receptor	FZD2
Receptor	FZD3
Receptor	FZD4
Receptor	FZD5
Receptor	FZD6
Receptor	FZD7
Receptor	FZD8
Receptor	FZD9
Receptor	GALR1
Receptor	GALR2
Receptor	GALR3
Receptor	GCGR
Receptor	GFRA1
Receptor	GFRA2
Receptor	GFRA3
Receptor	GFRA4
Receptor	GHR
Receptor	GHRHR
Receptor	GHSR
Receptor	GIPR
Receptor	GLP1R
Receptor	GLP2R
Receptor	GNRHR
Receptor	GP1BA
Receptor	GP9
Receptor	GPC1
Receptor	GPC4
Receptor	GPC5
Receptor	GPIHBP1
Receptor	GPR1
Receptor	GPR135
Receptor	GPR151
Receptor	GPR182
Receptor	GPR37
Receptor	GPR37L1
Receptor	GPR39
Receptor	GPR56
Receptor	GPR75
Receptor	GRIN2C
Receptor	GRIN2D
Receptor	GRM1
Receptor	GRM5
Receptor	GRPR
Receptor	GUCY2C
Receptor	GUCY2D
Receptor	HAVCR2
Receptor	HCRTR1
Receptor	HCRTR2
Receptor	HFE
Receptor	HFE2
Receptor	HHIP
Receptor	HLA-F
Receptor	HMMR
Receptor	HRH4
Receptor	HTR2A
Receptor	HTR2C
Receptor	HTR6
Receptor	IFNAR1
Receptor	IFNAR2
Receptor	IFNGR1
Receptor	IFNGR2
Receptor	IFNLR1
Receptor	IGF1R
Receptor	IGF2R
Receptor	IGFLR1
Receptor	IL10RA
Receptor	IL10RB
Receptor	IL11RA
Receptor	IL12RB1
Receptor	IL12RB2
Receptor	IL13RA1
Receptor	IL13RA2
Receptor	IL15RA
Receptor	IL17RA
Receptor	IL17RB
Receptor	IL17RC
Receptor	IL18R1
Receptor	IL18RAP
Receptor	IL1R1
Receptor	IL1R2
Receptor	IL1RAP
Receptor	IL1RAPL1
Receptor	IL1RL2
Receptor	IL20RA
Receptor	IL20RB
Receptor	IL21R
Receptor	IL22RA1
Receptor	IL22RA2
Receptor	IL23R
Receptor	IL27RA
Receptor	IL2RA
Receptor	IL2RB
Receptor	IL2RG
Receptor	IL31RA
Receptor	IL3RA
Receptor	IL4R
Receptor	IL5RA
Receptor	IL6R
Receptor	IL6ST
Receptor	IL7R
Receptor	IL9R
Receptor	INSR
Receptor	ITGA1
Receptor	ITGA10
Receptor	ITGA11
Receptor	ITGA2
Receptor	ITGA2B
Receptor	ITGA3
Receptor	ITGA4
Receptor	ITGA5
Receptor	ITGA6
Receptor	ITGA7
Receptor	ITGA8
Receptor	ITGA9
Receptor	ITGAD
Receptor	ITGAE
Receptor	ITGAL
Receptor	ITGAM
Receptor	ITGAV
Receptor	ITGAX
Receptor	ITGB1
Receptor	ITGB2
Receptor	ITGB3
Receptor	ITGB4
Receptor	ITGB5
Receptor	ITGB6
Receptor	ITGB7
Receptor	ITGB8
Receptor	JMJD6
Receptor	KCNA3
Receptor	KCND1
Receptor	KCND2
Receptor	KCNJ10
Receptor	KCNJ15
Receptor	KCNJ4
Receptor	KDR
Receptor	KEL
Receptor	KIR2DL1
Receptor	KIR2DL3
Receptor	KIR2DL4
Receptor	KIR2DS4
Receptor	KIR3DL1
Receptor	KIR3DL2
Receptor	KISS1R
Receptor	KIT
Receptor	KLB
Receptor	KLRC1
Receptor	KLRC2
Receptor	KLRD1
Receptor	KLRK1
Receptor	KREMEN1
Receptor	KREMEN2
Receptor	LAG3
Receptor	LAMP1
Receptor	LDLR
Receptor	LEPR
Receptor	LGR4
Receptor	LGR5
Receptor	LGR6
Receptor	LHCGR
Receptor	LIFR
Receptor	LILRA3
Receptor	LILRB1
Receptor	LILRB2
Receptor	LINGO1
Receptor	LMBR1L
Receptor	LPAR1
Receptor	LPAR2
Receptor	LPAR3
Receptor	LPAR4
Receptor	LPHN1
Receptor	LPHN2
Receptor	LRP1
Receptor	LRP11
Receptor	LRP2
Receptor	LRP4
Receptor	LRP5
Receptor	LRP6
Receptor	LRP8
Receptor	LRRC4
Receptor	LRRC4C
Receptor	LSR
Receptor	LTBR
Receptor	MAG
Receptor	MARCO
Receptor	MAS1
Receptor	MC1R
Receptor	MC2R
Receptor	MC3R
Receptor	MC4R
Receptor	MC5R
Receptor	MCAM
Receptor	MCHR1
Receptor	MCHR2
Receptor	MERTK
Receptor	MET
Receptor	MFRP
Receptor	MLNR
Receptor	MMP24
Receptor	MPL
Receptor	MRGPRX1
Receptor	MRGPRX2
Receptor	MST1R
Receptor	MTNR1A
Receptor	MTNR1B
Receptor	MUSK
Receptor	NCSTN
Receptor	NEO1
Receptor	NGFR
Receptor	NGFRAP1
Receptor	NMBR
Receptor	NMUR1
Receptor	NMUR2
Receptor	NOTCH1
Receptor	NOTCH2
Receptor	NOTCH3
Receptor	NOTCH4
Receptor	NPBWR1
Receptor	NPBWR2
Receptor	NPFFR1
Receptor	NPFFR2
Receptor	NPR1
Receptor	NPR2
Receptor	NPR3
Receptor	NPSR1
Receptor	NPY1R
Receptor	NPY2R
Receptor	NPY4R
Receptor	NPY5R
Receptor	NRCAM
Receptor	NRP1
Receptor	NRP2
Receptor	NRSN1
Receptor	NRXN1
Receptor	NRXN2
Receptor	NRXN3
Receptor	NT5E
Receptor	NTRK1
Receptor	NTRK2
Receptor	NTRK3
Receptor	NTSR1
Receptor	NTSR2
Receptor	OGFR
Receptor	OLR1
Receptor	OPRD1
Receptor	OPRK1
Receptor	OPRL1
Receptor	OPRM1
Receptor	OR1G1
Receptor	ORAI2
Receptor	OSMR
Receptor	OXTR
Receptor	P2RY12
Receptor	P2RY14
Receptor	PDCD1
Receptor	PDGFRA
Receptor	PDGFRB
Receptor	PECAM1
Receptor	PHEX
Receptor	PLA2R1
Receptor	PLAUR
Receptor	PLD2
Receptor	PLGRKT
Receptor	PLSCR4
Receptor	PLXNA1
Receptor	PLXNA2
Receptor	PLXNA3
Receptor	PLXNA4
Receptor	PLXNB1
Receptor	PLXNB2
Receptor	PLXNB3
Receptor	PLXNC1
Receptor	PLXND1
Receptor	PRLHR
Receptor	PRLR
Receptor	PROCR
Receptor	PROKR1
Receptor	PROKR2
Receptor	PTCH1
Receptor	PTCH2
Receptor	PTGDR
Receptor	PTGDR2
Receptor	PTGIR
Receptor	PTH1R
Receptor	PTH2R
Receptor	PTPRB
Receptor	PTPRF
Receptor	PTPRG
Receptor	PTPRM
Receptor	PTPRS
Receptor	PTPRU
Receptor	PTPRZ1
Receptor	PVR
Receptor	PVRL1
Receptor	PVRL2
Receptor	PVRL3
Receptor	PVRL4
Receptor	QRFPR
Receptor	RAMP1
Receptor	RAMP2
Receptor	RET
Receptor	RHAG
Receptor	RHBDL2
Receptor	ROBO1
Receptor	ROBO2
Receptor	ROBO3
Receptor	ROBO4
Receptor	ROR1
Receptor	ROR2
Receptor	RPSA
Receptor	RTN4R
Receptor	RTN4RL1
Receptor	RXFP1
Receptor	RXFP2
Receptor	RXFP3
Receptor	RXFP4
Receptor	RYK
Receptor	S1PR1
Receptor	SCARB1
Receptor	SCARF1
Receptor	SCN5A
Receptor	SCN8A
Receptor	SCTR
Receptor	SDC1
Receptor	SDC2
Receptor	SDC3
Receptor	SDC4
Receptor	SELE
Receptor	SELL
Receptor	SELP
Receptor	SLC16A2
Receptor	SLC37A1
Receptor	SLC40A1
Receptor	SMO
Receptor	SORCS3
Receptor	SORL1
Receptor	SORT1
Receptor	SSTR1
Receptor	SSTR2
Receptor	SSTR3
Receptor	SSTR4
Receptor	SSTR5
Receptor	ST14
Receptor	STRA6
Receptor	TACR1
Receptor	TACR2
Receptor	TACR3
Receptor	TBXA2R
Receptor	TEK
Receptor	TFR2
Receptor	TFRC
Receptor	TGFBR1
Receptor	TGFBR2
Receptor	TGFBR3
Receptor	THBD
Receptor	TIE1
Receptor	TIGIT
Receptor	TLR2
Receptor	TLR4
Receptor	TLR5
Receptor	TLR6
Receptor	TLR9
Receptor	TMEM222
Receptor	TMEM67
Receptor	TMPRSS6
Receptor	TNFRSF10A
Receptor	TNFRSF10B
Receptor	TNFRSF10C
Receptor	TNFRSF10D
Receptor	TNFRSF11A
Receptor	TNFRSF11B
Receptor	TNFRSF12A
Receptor	TNFRSF13B
Receptor	TNFRSF13C
Receptor	TNFRSF14
Receptor	TNFRSF17
Receptor	TNFRSF18
Receptor	TNFRSF19
Receptor	TNFRSF1A
Receptor	TNFRSF1B
Receptor	TNFRSF21
Receptor	TNFRSF25
Receptor	TNFRSF4
Receptor	TNFRSF6B
Receptor	TNFRSF8
Receptor	TNFRSF9
Receptor	TRAF2
Receptor	TREM2
Receptor	TRHR
Receptor	TSHR
Receptor	TSPAN1
Receptor	TYRO3
Receptor	TYROBP
Receptor	UNC5A
Receptor	UNC5B
Receptor	UNC5C
Receptor	UNC5D
Receptor	UTS2R
Receptor	VIPR1
Receptor	VIPR2
Receptor	VLDLR
Receptor	VTCN1
Receptor	XCR1
Receptor	ZNRF3
